doc_id,origin,title,normalized_title,source_url,source_slug,fallback_slug,canonical_slug,section_or_category,local_path
new:builder,academy,Builder,builder,https://academy.bricksbuilder.io/builder/,builder,builder,builder,builder,
new:builder/dynamic-content/dynamic-data,academy,Dynamic Data,dynamic data,https://academy.bricksbuilder.io/builder/dynamic-content/dynamic-data/,dynamic-data,dynamic-data,dynamic-data,builder/dynamic-content,
new:builder/dynamic-content/global-queries-query-manager,academy,Global Queries & Query Manager,global queries and query manager,https://academy.bricksbuilder.io/builder/dynamic-content/global-queries-query-manager/,global-queries-query-manager,global-queries-query-manager,global-queries-query-manager,builder/dynamic-content,
new:builder/dynamic-content/query-data-from-apis,academy,Query Data from APIs,query data from apis,https://academy.bricksbuilder.io/builder/dynamic-content/query-data-from-apis/,query-data-from-apis,query-data-from-apis,query-data-from-apis,builder/dynamic-content,
new:builder/dynamic-content/query-filters,academy,"Query Sort, Filter & Live Search",query sort filter and live search,https://academy.bricksbuilder.io/builder/dynamic-content/query-filters/,query-filters,query-filters,query-filters,builder/dynamic-content,
new:builder/dynamic-content/query-loop,academy,Query Loop,query loop,https://academy.bricksbuilder.io/builder/dynamic-content/query-loop/,query-loop,query-loop,query-loop,builder/dynamic-content,
new:builder/elements,academy,Elements,elements,https://academy.bricksbuilder.io/builder/elements/,elements,elements,elements,builder/elements,
new:builder/elements/basic/button,academy,Button,button,https://academy.bricksbuilder.io/builder/elements/basic/button/,button,button,button,builder/elements,
new:builder/elements/basic/heading,academy,Heading,heading,https://academy.bricksbuilder.io/builder/elements/basic/heading/,heading,heading,heading,builder/elements,
new:builder/elements/basic/icon,academy,Icon,icon,https://academy.bricksbuilder.io/builder/elements/basic/icon/,icon,icon,icon,builder/elements,
new:builder/elements/basic/image,academy,Image,image,https://academy.bricksbuilder.io/builder/elements/basic/image/,image,image,image,builder/elements,
new:builder/elements/basic/text-basic,academy,Text basic,text basic,https://academy.bricksbuilder.io/builder/elements/basic/text-basic/,text-basic,text-basic,text-basic,builder/elements,
new:builder/elements/basic/text-link,academy,Text Link,text link,https://academy.bricksbuilder.io/builder/elements/basic/text-link/,text-link,text-link,text-link,builder/elements,
new:builder/elements/basic/text,academy,Rich text,rich text,https://academy.bricksbuilder.io/builder/elements/basic/text/,text,text,text,builder/elements,
new:builder/elements/basic/video,academy,Video,video,https://academy.bricksbuilder.io/builder/elements/basic/video/,video,video,video,builder/elements,
new:builder/elements/filter/filter-active-filters,academy,Filter active filters,filter active filters,https://academy.bricksbuilder.io/builder/elements/filter/filter-active-filters/,filter-active-filters,filter-active-filters,active-filters,builder/elements,
new:builder/elements/filter/filter-checkbox,academy,Filter checkbox,filter checkbox,https://academy.bricksbuilder.io/builder/elements/filter/filter-checkbox/,filter-checkbox,filter-checkbox,checkbox,builder/elements,
new:builder/elements/filter/filter-datepicker,academy,Filter datepicker,filter datepicker,https://academy.bricksbuilder.io/builder/elements/filter/filter-datepicker/,filter-datepicker,filter-datepicker,datepicker,builder/elements,
new:builder/elements/filter/filter-radio,academy,Filter radio,filter radio,https://academy.bricksbuilder.io/builder/elements/filter/filter-radio/,filter-radio,filter-radio,radio,builder/elements,
new:builder/elements/filter/filter-range,academy,Filter range,filter range,https://academy.bricksbuilder.io/builder/elements/filter/filter-range/,filter-range,filter-range,range,builder/elements,
new:builder/elements/filter/filter-search,academy,Filter search,filter search,https://academy.bricksbuilder.io/builder/elements/filter/filter-search/,filter-search,filter-search,search,builder/elements,
new:builder/elements/filter/filter-select,academy,Filter select,filter select,https://academy.bricksbuilder.io/builder/elements/filter/filter-select/,filter-select,filter-select,select,builder/elements,
new:builder/elements/filter/filter-submit,academy,Filter submit,filter submit,https://academy.bricksbuilder.io/builder/elements/filter/filter-submit/,filter-submit,filter-submit,submit,builder/elements,
